COD_TAB;REST_CLAVE;MEMO_FIJO;MEMO_FIJ1,C,6
T02;40178;LIC. EN FILO;
T03;40178001;INTRODUCCION A LA FILOSOFIA;
T03;40178002;INTRODUCCION A LA LITERATURA;
T03;40178003;PSICOLOGIA FUNDAMENTAL;
T03;40178004;INTRODUCCION A LA HISTORIA;
T03;40178005;HISTORIA DE LA CULTURA;
T03;40178006;HISTORIA DEL ARTE;
T03;40178007;ANTROPOLOGIA FILOSOFICA;
T03;40178008;METODOS DE APRENDIZAJE E INVESTIGACION;
T03;40178011;FILOSOFIA DE LA NATURALEZA;
T03;40178012;LOGICA Y METODOLOGIA;
T03;40178015;LENGUA Y CULTURA LATINA I;
T03;40178016;GNOSEOLOGIA Y METAFISICA;
T03;40178017;FILOSOFIA DE LAS CIENCIAS;
T03;40178018;FILOSOFIA DEL LENGUAJE;
T03;40178019;LENGUA Y CULTURA GRIEGA I;
T03;40178021;LATIN ESPECIALIZADO;
T03;40178023;TEOLOGIA NATURAL;
T03;40178024;ETICA;
T03;40178025;ESTETICA;
T03;40178026;HISTORIA DE LA FILOSOFIA MODERNA;
T03;40178027;SEMINARIO;
T03;40178030;FILOSOFIA POLITICA;
T03;40178031;HISTORIA DE LA FILOSOFIA CONTEMPORANEA;
T03;40178033;SOCIOLOGIA;
T03;40178035;SEMINARIO FINAL;
T03;40178037;PRUEBA DE SUFICIENCIA DE DIOMA ITALIANO;
T03;40178039;PRUEBA DE CAPACITACION DE IDIOMA INGLES;
T03;40178040;PRUEBA DE CAPACITACION DE IDIOMA FRANCES;
T03;40178041;PEDAGOGIA;
T03;40178042;DIDACTICA GENERA;
T03;40178043;DIDACTICA ESPECIAL;
T03;40178044;ETICA PROFESIONAL;
T03;40178045;METODOL.OBSERV.Y PRACTICA DE LA ENSE#ANZA;
T03;40178053;FILOSOFIA DE LA HISTORIA;
T03;40178057;HISTORIA DE LA FILOSOFIA ANTIGUA;
T03;40178058;HISTORIA DE LA FILOSOFIA MEDIEVAL;
T03;40178059;GRIEGO ESPECIALIZADO;
T03;40178061;FILOSOFIA ARGENTINA Y LATINOAMERICANA;
T03;40178064;EPISTEMOLOGIA DE LAS CIENCIAS SOCIALES;
T03;40178074;FILOSOFIA DE LAS RELIGIONES;
T03;40178090;SEMINARIO DE WITTGENSTEIN;
T03;40178091;SEMINARIO DE FILOSOFIA DE LA LECTURA;
T03;40178092;SEMINARIO LA SINTESIS A PRIORI DE KANT;
T03;40178093;SEMINARIO DE FILOSOFIA ANALITICA;
T03;40178094;SEMINARIO DE LA PERSONA;
T03;40178095;SEMINARIO LA V INVESTIGACION LOGICA. HUSSERL;
T03;40178096;SEMINARIO LA CRISIS DE LA MODERNIDAD;
T03;40178097;SEMINARIO LA FILOSOFIA DE QUINE;
T03;40178098;SEM. LA I INVESTIGACION DE HUSSERL;
T03;40178181;SEMINARIO  FILOSOFIA DE LA HISTORIA EN S. XX;
T03;40178188;SEM.LA CUES.DE LAS REP.Y SU INC.CULT.POS.MOD.;
T03;40178189;LA EXPLICACION CIENTIFICA;
T03;40178190;ENF. HOLISTICOS Y RED. EN LA TEORIA SOCIAL;
T03;40178191;IDEA DE MUNDOHUSSERL,HEIDEGGER,SARTRE,FOUCOUL;
T02;40186;LICENCIATURA EN FILOSOFIA;
T03;40186001;INTRODUCCION A LA PROBLEMATICA FILOSOFICA;
T03;40186004;INTRODUCCION A LOS ESTUDIOS HISTORICOS;
T03;40186005;HISTORIA DE LA CULTURA (DIC. ESC. DE HISTORIA;
T03;40186007;ANTROPOLOGIA FILOSOFICA I;
T03;40186008;SEMINARIO METODOLOGICO;
T03;40186012;LOGICA I;
T03;40186014;PALEOGRAFIA Y DIPLOMATICA (DIC. ESC. HISTORIA);
T03;40186016;METAFISICA ;
T03;40186017;FILOSOFIA DE LAS CIENCIA;
T03;40186018;FILOSOFIA DEL LENGUAJE I;
T03;40186023;FILOSOFIA DE LAS RELIGIONES;
T03;40186024;ETICA I;
T03;40186025;ESTETICA;
T03;40186026;FILOSOFIA MODERNA ;
T03;40186030;FILOSOFIA POLITICA ;
T03;40186031;FILOSOFIA CONTEMPORANEA I;
T03;40186032;ANTROPOLOGIA SOCIO-CULTURAL;
T03;40186033;SOCIOLOGIA;
T03;40186035;TRABAJO FINAL DE LICENCIATURA;
T03;40186040;PRUEBA DE SUFICIENCIA DE IDIOMA FRANCES;
T03;40186050;MITO Y RELIGION EN GRECIA Y ROMA;
T03;40186053;FILOSOFIA DE LA HISTORIA;
T03;40186054;HISTORIA MODERNA;
T03;40186055;SEMINARIO OPTATIVO III;
T03;40186057;FILOSOFIA ANTIGUA I;
T03;40186058;FILOSOFIA MEDIEVAL ;
T03;40186060;TEORIA DEL CONOCIMIENTO ;
T03;40186061;FILOSOFIA ARGENTINA Y LATINOAMERICAN;
T03;40186062;LOGICA Il;
T03;40186063;LOGICA III;
T03;40186064;EPISTEMOLOGIA DE LAS CIENCIAS SOCIALES;
T03;40186065;EPISTEMOLOGIA DE LAS CIENCIAS NATURALE;
T03;40186066;HISTORIA DE LA CIENCIA ;
T03;40186067;HISTORIA DE LAS CIENCIAS II;
T03;40186068;FILOSOFIA DE LA MATEMATICAS;
T03;40186069;ETICA II;
T03;40186070;METAFISICA II;
T03;40186071;TEORIA DEL CONOCIMIENTO II;
T03;40186072;FILOSOFIA DEL LENGUAJE II                               ;
T03;40186073;ANTROPOLOGIA FILOSOFICA II;
T03;40186074;FILOSOFIA DE LAS RELIGIONES;
T03;40186075;FILOSOFIA POLITICA II;
T03;40186076;HISTORIA DE LA FILOSOFIA PRACTIC;
T03;40186077;FILOSOFIA DEL DERECHO;
T03;40186078;FILOSOFIA DE LA EDUCACION Y DEONTOLOGIA;
T03;40186079;FILOSOFIA ANTIGUA II;
T03;40186080;SEMINARIO PROB.EPIST.DE LA HIST.DEL PEN ARGEN;
T03;40186080;FILOSOFIA MEDIEVAL I;
T03;40186081;FILOSOFIA CONTEMPORANEA I;
T03;40186082;FILOSOFIA MODERNA I;
T03;40186084;PRUEBA DE SUFICIENCIA DE IDIOMA INGLES;
T03;40186085;PRUEBA DE SUFICIENCIA DE IDIOMA FRANCES;
T03;40186086;PRUEBA DE SUFICIENCIA DE IDIOMA ALEMAN;
T03;40186087;PRUEBA DE SUFICIENCIA DE IDIOMA ITALIANO;
T03;40186088;SEMINARIO OPTATIVO I;
T03;40186089;SEMINARIO OPTATIVO I;
T03;40186090;SEMINARIO DE WITTGENSTEI;
T03;40186091;SEMINARIO DE FILOSOFIA DE LA LECTURA;
T03;40186092;SEMINARIO LA SINTESIS A PRIORI DE KANT;
T03;40186093;SEMINARIO DE FILOSOFIA ANALITICA;
T03;40186094;SEMINARIO DE LA PERSON;
T03;40186095;SEMINARIO LA V INVESTIGACION LOGICA. HUSSER;
T03;40186096;SEMINARIO LA CRISIS DE LA MODERNIDA;
T03;40186097;SEMINARIO LA FILOSOFIA DE QUIN;
T03;40186098;SEM. LA I INVESTIGACION DE HUSSERL;
T03;40186102;CURSO DE NIVELACION (DE FILOSOFIA);
T03;40186103;SEM.LA HERMENEUTICA DE H.G. GADAME;
T03;40186104;SEM. C.A.BUNGE Y EL POSITIVISMO ARGENTINO;
T03;40186105;SEMINARIO FILOSOFIA CONTEMPORANEA DIE KEHRE;
T03;40186106;SEMINARIO FIN Y SENTIDO DE LA HISTORIA;
T03;40186107;SEMINARIO AUTOCONCIENCIA Y CONOC. EN KAN;
T03;40186108;SEMINARIO PROLEGOMEROS A LA METAFISICA;
T03;40186109;SEMINARIO *FILOSOFIA DE LA HISTORIA;
T03;40186110;SEMINARIO *DE ESTETICA;
T03;40186111;SEMINARIO *LA VIENA DE WITTGENSTTEN*;
T03;40186112;SEMINARIO *HISTORIA DE LA CULTURA*;
T03;40186113;"SEM.FOUCOULT:""EL SUJETO Y EL PODER""";
T03;40186115;SEMINARIO *PRINCIPIO COSMOLOGICO ANTROPICO;
