"CARRERA,C,3","PLAN,C,2","ACTA,C,5","ORDEN,C,2","LIBRO,C,5","MATERIA,C,3","TURNO,C,1","CATEDRA,C,1","FECH_ACTA,D","PROCES,L","FECPRO,D","INSCR,N,2,0","AUSENT,N,2,0","EXAMIN,N,2,0","SOBRES,N,2,0","DISTIN,N,2,0","BUENO,N,2,0","SUFIC,N,2,0","INSUF,N,2,0","REPROB,N,2,0","NOCORR,N,2,0","RECLIB,C,5","RECACT,C,5","OBSERV,M"
401,86,00010,,    1,074,1,,05/22/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,00040,,    1,013,4,A,11/17/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,00050,,    1,018,2,A,03/13/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,00060,,    1,019,2,A,03/13/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
471,86,00070,,    1,020,2,A,03/14/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,00140,,    1,003,3,,11/18/1993,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
421,86,00240,,    1,018,4,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,00330,,    1,143,4,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,00340,,    1,143,4,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,00350,,    1,143,4,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,00360,,    1,143,4,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,00630,,    1,003,1,,05/22/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,00850,,    1,102,4,,03/13/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,00860,,    1,102,4,,03/13/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,00870,,    1,102,4,,03/13/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,00731,,    1,046,1,,05/22/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
421,86,00980,,    1,042,1,,05/23/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,78,01080,,    1,008,1,,05/23/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,78,01100,,    1,027,1,,05/23/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
